Date,Open,High,Low,Close,Volume
2012-12-04,141.44,141.87,140.87,141.25,127622507
2012-12-05,141.37,142.16,140.37,141.5,147300444
2012-12-06,141.37,142.04,141.16,141.98,103220533
2012-12-07,142.53,142.69,141.67,142.42,108726325
2012-12-10,142.21,142.81,142.15,142.47,98840667
2012-12-11,143.06,144.11,142.99,143.44,152570378
2012-12-12,144.0,144.55,143.31,143.51,145880026
2012-12-13,143.42,143.83,142.28,142.63,135714940
2012-12-14,142.32,142.58,141.88,142.11,137701692
2012-12-17,142.47,143.85,142.43,143.77,143735755
2012-12-18,144.0,145.5,143.79,145.37,177762727
2012-12-19,145.53,145.58,144.24,144.29,150895322
2012-12-20,144.38,145.14,143.98,145.12,168486930
2012-12-21,142.17,144.09,141.94,142.79,245883785
2012-12-24,142.48,142.56,142.19,142.35,53874548
2012-12-26,142.64,142.71,141.35,141.75,106947663
2012-12-27,141.79,142.08,139.92,141.56,167920546
2012-12-28,140.64,141.42,139.87,140.03,148806608
2012-12-31,139.66,142.56,139.54,142.41,243952162
2013-01-02,145.11,146.15,144.73,146.06,192058911
2013-01-03,145.99,146.37,145.34,145.73,144761781
2013-01-04,145.97,146.61,145.67,146.37,116817675
2013-01-07,145.85,146.44,145.43,145.97,110002444
2013-01-08,145.71,145.91,144.98,145.55,121265078
2013-01-09,145.87,146.32,145.64,145.92,90745581
2013-01-10,146.73,147.09,145.97,147.08,130735372
2013-01-11,147.04,147.15,146.61,147.07,113917286
2013-01-14,146.89,147.07,146.43,146.97,89567104
2013-01-15,146.29,147.21,146.2,147.07,93172559
2013-01-16,146.77,147.28,146.61,147.05,104849487
2013-01-17,147.7,148.42,147.14,148.0,133833420
2013-01-18,147.97,148.49,147.43,148.33,169905915
2013-01-22,148.33,149.13,147.98,149.13,111797291
2013-01-23,149.13,149.5,148.86,149.37,104596066
2013-01-24,149.15,150.14,149.01,149.41,146426315
2013-01-25,149.88,150.25,149.37,150.25,147216088
2013-01-28,150.29,150.33,149.51,150.07,113357611
2013-01-29,149.77,150.85,149.67,150.66,105694364
2013-01-30,150.64,150.94,149.93,150.07,137447625
2013-01-31,149.89,150.38,149.6,149.7,108975801
2013-02-01,150.65,151.42,150.39,151.24,131172997
2013-02-04,150.32,151.27,149.43,149.54,159073559
2013-02-05,150.35,151.48,150.29,151.05,113912334
2013-02-06,150.52,151.26,150.41,151.16,138762719
2013-02-07,151.2,151.35,149.86,150.96,162489974
2013-02-08,151.22,151.89,151.22,151.8,103133681
2013-02-11,151.74,151.9,151.39,151.77,73774925
2013-02-12,151.78,152.3,151.61,152.02,65392613
2013-02-13,152.33,152.61,151.72,152.15,82322561
2013-02-14,151.69,152.47,151.52,152.29,80834206
2013-02-15,152.43,152.59,151.55,152.11,215226408
2013-02-19,152.37,153.28,152.16,153.25,95105396
2013-02-20,153.14,153.19,151.26,151.34,160574782
2013-02-21,150.96,151.42,149.94,150.42,183256921
2013-02-22,151.15,151.89,150.49,151.89,106356525
2013-02-25,152.63,152.86,149.0,149.0,245824757
2013-02-26,149.72,150.2,148.73,150.02,186596178
2013-02-27,149.89,152.33,149.76,151.91,150781872
2013-02-28,151.9,152.87,151.41,151.61,126865910
2013-03-01,151.09,152.34,150.41,152.11,170634729
2013-03-04,151.76,152.92,151.52,152.92,99010157
2013-03-05,153.66,154.7,153.64,154.29,121663035
2013-03-06,154.84,154.92,154.16,154.5,94469849
2013-03-07,154.7,154.98,154.52,154.78,86101309
2013-03-08,155.46,155.65,154.66,155.44,123487628
2013-03-11,155.32,156.04,155.13,156.03,83746703
2013-03-12,155.92,156.1,155.21,155.68,105755706
2013-03-13,155.76,156.12,155.23,155.9,92550856
2013-03-14,156.31,156.8,155.91,156.73,126329853
2013-03-15,155.85,156.04,155.31,155.83,138601089
2013-03-18,154.34,155.64,154.2,154.97,126704266
2013-03-19,155.3,155.51,153.59,154.61,167567263
2013-03-20,155.52,155.95,155.26,155.69,113759222
2013-03-21,154.76,155.64,154.1,154.36,128604916
2013-03-22,154.85,155.6,154.73,155.6,111163530
2013-03-25,156.01,156.27,154.35,154.95,151322280
2013-03-26,155.59,156.23,155.42,156.19,86856545
2013-03-27,155.26,156.24,155.0,156.19,99950532
2013-03-28,156.09,156.85,155.75,156.67,102932783
2013-04-01,156.59,156.91,155.67,156.05,99194043
2013-04-02,156.61,157.21,156.37,156.82,101504286
2013-04-03,156.91,157.03,154.82,155.23,154167332
2013-04-04,155.43,156.17,155.09,155.86,131884920
2013-04-05,153.95,155.35,153.77,155.16,159665917
2013-04-08,155.16,156.22,154.75,156.21,86571104
2013-04-09,156.5,157.32,155.98,156.75,101922102
2013-04-10,157.17,158.87,157.13,158.67,135711015
2013-04-11,158.7,159.71,158.54,159.19,110142479
2013-04-12,158.68,159.04,157.92,158.8,116359817
2013-04-15,158.0,158.13,155.1,155.12,217258928
2013-04-16,156.29,157.49,155.91,157.41,147507796
2013-04-17,156.29,156.32,154.28,155.11,226834743
2013-04-18,155.37,155.41,153.55,154.14,167583106
2013-04-19,154.5,155.55,154.12,155.48,149687552
2013-04-22,155.78,156.54,154.75,156.17,106553422
2013-04-23,156.95,157.93,156.17,157.78,166141269
2013-04-24,157.83,158.3,157.54,157.88,96781189
